text,category
Very nice movie. I  apreciate to making this film to make the consideration of gay sex.. To the society....,None-of-the-above
Pavithra DM LGBT means,None-of-the-above
One Of The Best Video Ever!!  Respect The Lady!!,Hope-Speech
Iam a gay and proud to be that...... longing for my soul ♥️,Hope-Speech
Dude why do you have to put as Transgender word out there ....remove that ...you are giving her a separate gender identity.....that's not good,None-of-the-above
it's due to abnormalities present sexual dimorphic nuclei of hypothalamus,Homophobic-derogation
society ll change...,None-of-the-above
Hinduism not oppose homosexuality.  Be aware before talking,Counter-speech
Surya Trans Kitchen❤  😂😂😂,Hope-Speech
Hey very nice,None-of-the-above
Very well Done.. To the crew😍,None-of-the-above
I am single boy ; My 25year ; My from goa,None-of-the-above
Super bro new concept wait for part 2,Hope-Speech
"Sky Moon  Your Blind Abrahamic Religion's Are Totally Psycho ,Fools!!!😂🤣 😂😂 😂😂 😂🤣 😂 Only Psycho People's Can See Jesus 😂🤣!!!",None-of-the-above
Super speech 🔈🔉🔊,None-of-the-above
Oh my God I love the way u talk .....oh God.super expressive .,None-of-the-above
What kind of joke is this brother... This isn't right...,None-of-the-above
Congrats sago for your new efforts,Hope-Speech
Thani Sathiyamoorthy  U will get a good life partner quickly my wishes to you all the best bro,None-of-the-above
I did not expect the way you brought the points for the Lgbtq. I had some bias towards you before watching. Ones watched I feel proud of you Tamila...,Hope-Speech
I have seen her interview before this .in that she is so sweet and innocent.. anyone else?,None-of-the-above
Who is Shinchan!!!!!!,None-of-the-above
Beautiful loves story.. I really love it . Hearts touching.. 😢😢😢😢,None-of-the-above
I am a gay is this my fault? 😔,None-of-the-above
Malini your thoughts and words are beyond the world your so great and i respect u so much.  Because ur a common human right dont consider people who speak non sense,None-of-the-above
I will write to pm cell to take action against this kind of activities,None-of-the-above
"they probably dont want to live in your devan's rajyam?? where do u stupid people come from? no matter how politely that girl explains, nothing stil goes inside that clay head of yours!!!",None-of-the-above
"Nice attempt ,, love is love ,, it has only feelings ,,👍🏼👍🏼👍🏼",Hope-Speech
Public engaged this pepel,Hope-Speech
Well Explained.. As a human we should understand the each individuals feelings.,None-of-the-above
"Learn love, philosophy along with biology",None-of-the-above
Majority north Indians only here 🤦 think so,None-of-the-above
Hi guys tnx to supporting us ping me if u r interested reply me guyz I'll give my number tq...,None-of-the-above
How intelligent she is...,None-of-the-above
I cried really at last...,Counter-speech
what u mean bro,None-of-the-above
It was just to show that the son of the watchmen was straight,None-of-the-above
I am waiting part 2 this video,Hope-Speech
Talk about the cultures and the festival celebrated in the whole india,None-of-the-above
They are very grt.....!!❤️plzz respect them🥺,None-of-the-above
Really great job 👍,None-of-the-above
thanks a lot,None-of-the-above
I think u r clear clarity,None-of-the-above
Anchor Semma hot,None-of-the-above
She looks so cute and adorable super ma chellam,None-of-the-above
While it may be true that God created Adam and Eve he only created them to populate the Earth and there are 7.7 billion people on this Earth now 😐 I just think we should all be kind to each other and live our lives how we wish as long as we aren't hurting anyone 😊,Hope-Speech
sathya raj semma movie naan every day crying,None-of-the-above
Waiting for part 2 bro😍,None-of-the-above
Proud of her... what she said totally true... if you don’t like them or don’t want to support them just leave it.. don’t humiliate them.. we don’t have any rights to condemn them.. it’s their personal..,Counter-speech
Parcel to pakistan and shoot,Homophobic-derogation
I  love this movie,None-of-the-above
I requested to every parent's..plz plz plz .if ur son is gay try to understand to them.dont avoid him and dont beat and dont think ..society..society is nothing just talking nothing helping u ...so just think ur son...its not his problem. Hormones problem..so think and tack them ur heartfully.and accept them..plz ..,Hope-Speech
Really Good bro,Hope-Speech
"Let them live there life, the way they want.",None-of-the-above
"Bro Vera level Acting, Arumai",None-of-the-above
So you accept a your mom or sister to have lesbian in your house.,None-of-the-above
Mani sir am addicted to ur movie awesome story marvellous acting especially lathif gods Grace keep doing plss😍😍😍😍,None-of-the-above
Bro one small change ; it is not article 377 it's a section 377.. there is difference... But clearly explained thank you.,None-of-the-above
End of line super nanba ; ❤️❤️❤️❤️❤️,None-of-the-above
oh jealous???? then u also call ur self as queen. yes gossip queen. I dont care intellectual lol,None-of-the-above
This is not prank show emotional really I am proud to say TMP awesome,None-of-the-above
Like my comment; 👇,None-of-the-above
"Heart touching bro,vere level....🥰❤",Counter-speech
Rnakku oru nalla payyan venum.. ❤️; Is there anyone???,None-of-the-above
Thirunangai Amma is great I Love you amma,None-of-the-above
Y birds fly in v shape,None-of-the-above
Sanjiv a if that was my parents wish I would encourage them. Don’t think those who married are happy with their life. Sex not meant to produce babies it is a language that body speaks to each other. Just like u has choice to talk to anyone same goes to yr body where it can’t pick the right person to communicate to I mean to have sex.,Counter-speech
"Srithar Sri  loosu, go and do this to people who rape children and new born babies",None-of-the-above
I cried almost.. Osm,None-of-the-above
Mani Shankar Iyer actually I must say.. Pleasure sir,None-of-the-above
Ashiq intha interview la pavam 😬,None-of-the-above
Real life is hard for any kind  of out box love.; Intercast. Religion. Pleases . Color ; Every thing is matter to this society,None-of-the-above
vasan marx really? Are u just recovered or do u have cure? Half boiled egg.,None-of-the-above
She is very good hearted person ❤,None-of-the-above
Yes ofcourse I too really faced many issues in my life such a wonderful bold talk keep it up keep going everything is gonna be fine,Hope-Speech
"Gayathri Krishnan What do you mean by Jumping away from Gay? I would see her as just another girl. What she does with her life is none of my business neither should it be anybody's. Live and let live. As for the people that jump away, they are clearly not aware or ignorant. As a woman, please try to uplift another woman instead of bringing her down. Namaste.",Counter-speech
This’s bullshit 🖕🏼 don’t encourage same this persons,Homophobic-derogation
Loga Nathan s correct,None-of-the-above
Really super  bro,Hope-Speech
Bro ithu oru asingamana vishyam  😨😨😨😨😨😨😨😨,Homophobic-derogation
"you are here to correct typo error😂😂 is that the scientific research has proven that gay, lesbian or bisexual is by birth..",Counter-speech
"You are a great pa,,, don’t feel, the Lord be with yours",Hope-Speech
Don't to like those things bro please 😭,None-of-the-above
"Brilliant, just brilliant guys! Kudos to the team. Wonderful observation with full of warmth and compassion, good performance, specially from the security officer, and nicely executed. A very good short film:)",None-of-the-above
He's exposed that place front of public,None-of-the-above
Acting vera lvl,Hope-Speech
"U will find your man, there are a lot of gays don't worry",None-of-the-above
Yaru lusu I won't understand her feelings unless or until u face it,None-of-the-above
Really this video use me to choose correct choice thanks a lot for your wonderful video 😊,None-of-the-above
"Lol, look at all the rational comments coming from the land of periyar. This has brought the worst of Tamil nadu people. This makes me question the whole Dravidian movement.",None-of-the-above
She is look like serial actress,None-of-the-above
Hats off  for this video Brother... 😭,None-of-the-above
U guys must be appreciated for this social exxperiment prank; Well done guyss; U will reach heights....❤️,Hope-Speech
I am really loved it keep it up,Counter-speech
Thirunangai great tha  bro  l really cried bro,Counter-speech
"wat a blady men,he u keep quite>>> ?? fuck the bitch",None-of-the-above
Nice movei hats off to logesh sir thanks for this movei,None-of-the-above
I like this sister because the sister is loveble person,Hope-Speech
She is very cute. The super.... model.. MEERA MITHUN should watch this.,None-of-the-above
p.madhan madhan  lol .. aids will spread even through heterosexual group.. and it was there in our culture it self ..it's natural.,Counter-speech
miracle tone or high frequency (in YouTube is it true we can hear it by hearing it we can help brain to secrete dophamine 550 hz,None-of-the-above
Thank u  private account; Me too was searching for Tamil print...,None-of-the-above
"I really cried while watching this video,  They also should be treated like human beings. May God bless all of them! Love from Sri Lanka ❤️❤️😘😘",Hope-Speech
We will support sister,Hope-Speech
Sister nice explanation and congrats,None-of-the-above
She is very beautiful......,None-of-the-above
"Simply Superb interview , started to admire you. more way to go sis.",None-of-the-above
"Even I am straight I support this, we have to treat all as humans",Counter-speech
Very very nice super,None-of-the-above
This is actually Disease ....,Homophobic-derogation
I think people need to be educated well..... Even my mom supports homosexuality and their rights.... We are in no place to judge them...... I think people are being ridiculous by judging others.....,Counter-speech
Athu yen male vj aashiq nu podala?? Then why transgender actress katrina...?,None-of-the-above
God bless 🌹,None-of-the-above
Bro... All ur videos r very useful to us... Keep rocking,None-of-the-above
There are more than 2 genders too lol,None-of-the-above
Now heavy gopal in chennai,None-of-the-above
Its was emotional bro😢😢,Counter-speech
All the very best Sagoo,Hope-Speech
Please tell about the operation barbarossa,None-of-the-above
I am not homo bro ; But I support it because it's their life broo,Counter-speech
Anitha Anitha  your mom's honey ah,None-of-the-above
don't leave everything to society and anyways people today have lots of works to do Sp no one is really bothered to peep in others personal life....u can maintain ur privacy with the help of ur partner and parents.....instead of assuming something will happen and society will interfere it is better to take a chance for ur life in secured way,Hope-Speech
"Totally moved by the movie! Superb picturization, music, emotional sequences, and awesome acting! The actors really have done a great job! Kudos!!",None-of-the-above
Talk about magic..please,None-of-the-above
India doesn't consider gay sex as a crime any more. Please change that.; 🏳️‍🌈❤️,None-of-the-above
i salute i am not interested and opposed to same sex relation but this film takes few minutes to thing what is wrong with those person they are also human being we have to sry i hav to respect those persons; ; ; At any point of time dont hesitate others feelings and love,Hope-Speech
"You can be what you want(good for you), but you are pushing your thoughts on others !",None-of-the-above
next 10- years'la total world people's Hiv patients .100% conform. (no children).,Homophobic-derogation
She looks cute and beautiful,None-of-the-above
Love is; Not gender ; Not religion; Not age; Love is love ; (This is my mom acc),Counter-speech
Wth? Love is not a disease. 🙄🙄🙄🙄,None-of-the-above
Royal Queen  No one sees women weak..Only men of past and retarded men of past think like that,None-of-the-above
For more such videos subscribe to the link  We will work harder to generate better content. Thank you for your support.,None-of-the-above
"After all, they are fellow human beings!",None-of-the-above
She looks pretty. I thought Vera yaaro tha transgender nu. She is so pretty than other girls. And better than real transgender meera😂,None-of-the-above
Wait for part 2,None-of-the-above
Thank you so much Murugan🖤 That's all I need :). Stay happy too :),None-of-the-above
Which movie is she acted in.?,None-of-the-above
It's ok bro,Hope-Speech
One of the best videos on YouTube seen till... But don't hurt that akka in part 2 plz,Hope-Speech
May I know these cast's any other movie? I surely can watch it...,None-of-the-above
Motivating bro 👍 awesome to see u.. my hearty wishes ❤️,None-of-the-above
Good message ; & thank you so much anna,None-of-the-above
"Even I am straight I support this, we have to treat all as humans",Counter-speech
All the human beings....have their rights...to diside there path....the may know what the gender they are....I support fr all human beings.,Counter-speech
Bro super acting,Hope-Speech
Its not others duty to look what the hell others carrying inside thier phants. You guys have many other works go and do that .,None-of-the-above
"Black t shirt romba yethar thama paesurenga, en wife lesbian ah suppose irundha , i am also will say the same safe ah pannunga ennaiyum appo appo kavanuchuko",None-of-the-above
swetha k seri tell me what physical changes they have as homosexual? Are they any genetic changes seen? Atleast any difference from straight male n female?,None-of-the-above
Very good. All the best,None-of-the-above
Goo on its their rights!!,None-of-the-above
Cho sweet ❣️,None-of-the-above
Heart For that Akka❤️,Hope-Speech
I live latifs innocent face as me!!!,None-of-the-above
people dont understand that its already exist in india historical period not europe culture its already mention in many purana story,None-of-the-above
"Bro according to science if a person over does a thing,he loses the pleasure in it.that is the reason y more ppl in west are homosexuals.many ppl in west lose thier virginity in a young age and they have sex out of thier marriage lock,and this is the reason y the lose pleasure in a normal relationship and they want to do something diffrent and the go with homosexuality",Homophobic-derogation
hmmmm love is the most powerful weapon that people used to do sins :); Dante:- worlds greatest sins has been committed in the name of love; ... one day love will be destroyed in the name of love itself...,None-of-the-above
Thank you so much 😍🖤,None-of-the-above
She is beautiful,None-of-the-above
"The judges is a wrong persons, so judgement also wrong decision.So we have to re appele supreme Court.",Homophobic-derogation
Brilliant I'm speechless just hats off to all the  movie members,None-of-the-above
Mind a word,None-of-the-above
She is so cute,None-of-the-above
"I am asexual.....and I support LGBT community people,I found nothing wrong with them..",Hope-Speech
Wow 👏...! Hart of you .. bro,Hope-Speech
This kind of feeling at Young Age is only infatuation can be easily treated by personal coincling and brought back to Right path and focus be on education,Homophobic-derogation
"I like the movie, i  love character Latif, act awesome.....",None-of-the-above
I hav seen dis movie when they screened in the Chennai Rainbow Film Festival. It stands example for SIMPLY THE BEST!!!,None-of-the-above
Speak abt freedom of dressing...for women,None-of-the-above
"👌👌👌👌, group name",None-of-the-above
I am also gay I am searching for true love and life partner.any one searching for life partner tell me  this my number,Hope-Speech
Will Com ussu illa bro homosexuals and heterosexuals,None-of-the-above
She is so beautiful who accept this? Give like 😊,None-of-the-above
Best film I ever watched,None-of-the-above
humans have sense to think right? we are modern animals. LIFE CREATES LIFE people dint know about the consequences about this,None-of-the-above
Thanks to Raja Antony who selected this for us to see. it's well played.,None-of-the-above
Looking pretty and... Very dignified......,None-of-the-above
Because she is the only transgender actress in Tamil,None-of-the-above
"I'm sharing my experience pls read it, two trans came near stella maris CLG side they tease some girls there, my aunt and my periyamma asked why u do like these,, they beaten my aunt & periyamma they got beating & they scared,, all the people all are watching. My uncle was also there. He was a priest. He can't beat them. But he was so angered and cried,, control his anger.because the government control them and put case against the poor people,,why they want to become a trans,god made us by his own breath 😔😔..this wat they do😔😔😔😔, I can't write anymore 😞😔",Transphobic-derogation
how stupid all these people are. i disrespect those who disrespect LGBTQ people.,None-of-the-above
Y this kinda classic films are not coming in theater,None-of-the-above
