text,category
"என்னப்பா எல்லாரும் ப்ராங்குல,  பார்ட் எடுக்க ஆரம்பிச்சிட்டிங்க",None-of-the-above
; நாவினாற் சுட்ட வடு.,None-of-the-above
நடனம் ஆடியபோது என் கண்ணு வேர்க்கஆரமிச்சிடிச்சி யா❤,None-of-the-above
👍🤗சுப்பர் இது போன்ற உரையாடல்கள் அனைத்தும் கவலை,None-of-the-above
இது ஒரு மனித ஜென்மமே இதயல்லாம்,Transphobic-derogation
ஐயப்பன் பிறப்பை ஆதரிக்கின்றவர்கள் ஏன் இதை கொச்சை படுத்துகிறார்கள்,Counter-speech
விருப்பம் இல்லாமல் யாரும் யாரையும் சீண்டுவதில்லை...  பல்வேறு காலம்தொட்டு ஓரினை சேர்க்கையாளர்கள்  இருந்துகொண்டுதான் இருக்கிறார்கள்...  தனிப்பட்ட ஒருவரின் விருப்பத்தில் மற்றொருவர் தலையிடுவது சரி அல்ல....  ஏற்றுக்கொள்ளக்கூடிய விடயம்,Counter-speech
சமுதாய சீர்கேடு....; வேரோடு கலாச்சாரத்தை அழிக்கும் முயற்சி...,Homophobic-derogation
"உங்களில் யாராவது விவசாயம் தெரிந்தால் , நான் வேலையும் , அதன் பொருப்பையும் தர தயார்",None-of-the-above
தம்பி நீங்கள் ஏன் அழுகனும்   யார்குடியும் கெடுக்கலயே  திருடலயே பின்ன ஏன் வருத்தபடனும்  உடல்மாற்றத்திற்க்கு நீங்கள் பொறுப்பல்ல,Counter-speech
எனக்கு திருநங்கை ரொம்ப பிடிக்கும் I காதல்  u amma 's; எங்க ஊர்ட திருநங்கை இருக்காங்க நா அவங்க ட பேசியிருக்கேன் அங்க போனதும் யார் என்ன கேக்கல டீ பொடவா காபீ பொடவா தங்கம்னு தா கேட்டாங்க 1St அவ்ளோ அன்பா பேசுனாங்க  😘😘😘😘😘😘😘😘,None-of-the-above
டார்வின்  பரிணாம கோட்பாடு எழுதும்போது முதல்ல எதிர்த்தவர்கள் கிருஷ்வரைகள்தான் .மதம் என்னைக்குமே அறிவியலை ஆதரிக்காது.மதம்தான் இங்க மனித அடிமை முறை .மதம்தான் அடக்கு முறை .டார்வின் ஒரு ஓரினசேர்க்கைனு முதல்ல நிரூபிச்சி காட்டுங்க .அப்டி அவர் ஓரின gay lesbian சேர்க்கையாளரா இருந்தா என்ன பிரச்சனைன்னு கேக்குறேன் .தாழ்த்த பட்ட மக்களோட பிரச்னையை ஒரு தாழ்த்த பட்டவனாலதான் கேக்க முடியும் .உணர முடியும் .அது போலதான் இதுவும்,None-of-the-above
Ne என் aids வந்த மாறி irka,Homophobic-derogation
போதி தர்மரை பற்றி ஒரு  video  mg anna,None-of-the-above
டேய் லூசு புண்டைகளா..; நம்ம கலாச்சாரம்னு நீங்க சொல்ரீங்களே அப்படினா என்னடா???; ; >ஆணும் பெண்ணும் காதலித்தால் கொலை; ; >கலப்பு திருமணம் செய்தால் கொலை; ; >கெளரவக் கொலை; ; >ஆணவக்கொலை; ; இதுதான் உங்கள் கலாச்சாரமா???; ; அடுத்தவன் சுதந்திரத்தை ஆட்டைய போடுவதுதான் உங்கள் புண்ட கலாச்சாரம்.,None-of-the-above
"ஏய்.சில்லரை.திருநங்கை.திவ்யா.திருப்பூர்.உங்க அம்மா உங்க அப்பா.போனதடா.சுன்னி.உன்னையே.செருப்பாலயே அடிக்கணும்..திருப்பூர்.உங்க அப்பன்.கோத்தா.போனதா.அவங்களுக்கு.வேலை இருந்தா.அவங்க ஏண்டா.திருப்பூருக்கு.வராங்க.மனசாட்சி.இல்லாம.பேசாத.நாசமா.போயிருவேன்.பச்சை கலர் ஜாக்கெட்.திவ்யா. கிழிச்சுரூவேன். இடுவேன் ஜாக்கிரதை.இந்த கட்டப் பஞ்சாயத்து.பண்ணிட்டு.இருந்த.மத்திய அரசும்,மாநிலஅரசும்,தமிழ்நாட்டு.காவல்துறையும்.கையக் கட்டிட்டு.இருக்க மாட்டாங்க.திருப்பூர்.கட்டப் பஞ்சாயத்து.திருநங்கை.ஜாக்கிரதை.அந்த.திருநங்கைகள்.பாவம்.",None-of-the-above
"கழட்டிப் போட்டு..அஅடிச்சிப்பாங்க, -",None-of-the-above
உன் வாழ்க்கை உன் கையில்.; உன் வாழ்க்கை உன் விருப்பம்.; ; எந்த ஒரு சாதாரண மனிதனின் வாழ்நாளுக்கும் இயற்கை ஒரு எல்லை வைத்திருக்கிறது.; அது முடிந்தால் புறப்படவேண்டியதுதான்.; ; ஆனால் தனது பிறதியின்(வாரிசு) மூலமாகக மனித உயிரின் ஆயள் நீட்டிப்பு என்கிற ஒரு அற்புதமான வழியை வாய்ப்பை இயற்கை மனிதனுக்கு வழங்கியிருக்கிறது.; ; இத்தகைய பொருந்தாத உறவில் ஈடுபடுவோர் அந்த அருமையான வாய்ப்பை இழக்கிறீர்கள்.,Homophobic-derogation
அவங்க dance ஆடும்போது உண்மையிலேயே என்னுடைய கண்கள் கலங்கி விட்டது..  இப்படி ஒரு நல்ல மனதை வெளியில் காட்டியதக்கு என்னால் subscribe மட்டும்தான் பண்ண முடிந்தது,None-of-the-above
"Ha ha ha.... சூப்பர் ! மேற்கத்திய  உலகம் ...; அதைப்பற்றி கொஞ்சம்...; அமெரிக்க நிலப்பரப்பின் பூர்வக்குடி மக்களை அழிச்சிட்டு அமெரிக்கா கனடான்னும் ஆஸ்திலிய பூர்வகுடிமக்களை அழிச்சிட்டு ஆஸ்திரேலியான்னு ஏகப்பட்ட நிலப்பரப்பையும் பெட்ரோலிய; மார்க்கெட் , Medical drugs லிருந்து உரம் ,பூச்சிமருந்து,பால்பவுடர்,; சோப்பு,...Google ..Facebook ..ன்னு ..உலக வங்கி அவுங்க கைப்புள்ள ஐநா சபை..அப்புறம்; ஆயுதவியாபாரம்....இப்படி பணங்கொழுத்த நாட்டுல நடக்கிற காம கூத்துக்கள்; வெளிநாட்டு முதலீட்டாளர்கள்; மற்றும் உலக வங்கி கடனை நம்பி பொழப்பு நடத்துற நம்ம; நாட்டுக்கும் நம்ம பண்பாட்டுக்கும் ; ரொம்ப முக்கியம் - யோகி",None-of-the-above
"இயற்கைக்கு எதிர் மனித இனம் அழிவின் உறுதி.(இயற்கையில் எந்த உயிர் தன் இனம்பால் ஈர்ப்பு கொள்ளுவது இல்லை,இயற்கை தண்டனை உறுதியாக தரும்).",Homophobic-derogation
தமிழகத்தின் சிங்கப் பெண்களின் ஒருவர் 🙏🙏🙏🙏,None-of-the-above
யோவ் நீங்க ரொம்ப நல்லா பண்றீங்க தயவுசெய்து போர் அடிக்கிறது மாதிரி பண்ணீடாதீங்க நன்றி. Keep it up anna thanks,None-of-the-above
கருப்பு பக்கங்கள்....நிஜமாகவே கொடுமையானதுதான்....மாற்றங்கள் மட்டுமே நிலையானவை சகோதரி.... மாற்றங்கள் நிச்சயம் ஏற்படும்...,Hope-Speech
அக்காவின் உண்மையான அன்பு❤ 🙏,Hope-Speech
இவங்க தான் உண்மையான singapengal 😢😍😍😍,None-of-the-above
"swetha k முதல்ல , நான் சொல்ல வரதே புரிச்சுக்கோங்க. ஒருபாலின ஈர்ப்பு என்பது ஒரு விபத்து. திருநங்கைகள், திருநம்பிகளை நான் குறை சொல்ல மாட்டேன். அவர்களுக்கு , உடல்ரீதியாக மாற்றம் ஏற்படுகிறது அவர்கள் விரும்பினாலும், விரும்பவில்லை ஆனாலும். lesbian gay தவறான பாதையில் இருக்கிறார்கள். நிச்சயமாக , அவர்கள், வருத்தபடுவார்கள்.",None-of-the-above
உண்மையான பெண்ணிற்கு கூட இல்லாத தாயுள்ளம்😭😭😭.,None-of-the-above
சகோதரா இந்த நடிப்பு வேற லெவல் அந்த அக்காவின் அன்பு அதைவிட அதிகமாக இருக்கின்றது...... ஆனந்தக் கண்ணீர் வருகின்றது எனக்கு 🙏🙏👍❤️,None-of-the-above
நாட்டில் என்னெல்லாம் பிரச்சினை நடக்கிறது அதை தீர்ப்பு சொல்ல தெரியவில்லை,None-of-the-above
அண்ணா நீங்க அழகா இன்டெர்வியூ எடுக்குறீங்க இனிய love you so much bro 😘😘😘,None-of-the-above
"அரவானிகள் சமூக நாசக்காரர்கள்,..",Transphobic-derogation
இவள்ங்களை துடைப்பங்கட்டையா  அடிக்கனும்,Transphobic-Threatening
எப்பட 2 பார்டு வரும்,None-of-the-above
திருநங்கைகள் தெய்வமா நினைக்காதீர்,None-of-the-above
சிரம் தாழ்ந்த வணக்கங்கள்👌🏻,None-of-the-above
அட டேய் சாபம்  விடுறீங்களோ  🤣🤣🤣🤣🤣 ஏன்  டா இப்படி  பிறந்தநாள் பிச்ச எடுக்குறீங்கன்னு  கேட்டது  ஒரு  குற்றமா,None-of-the-above
நண்பா அருமை  அருமை  உங்கள் திறமைக்கு பாராட்டுக்கள் வாழ்த்துக்கள்,None-of-the-above
வாழ்த்துகள் திரு.இயேசுராஜ் அவா்களுக்கு,None-of-the-above
ஒரு ஆணுக்கு ஒரு பெண் தான் இதை நீங்கள் என்ன தான் சொன்னாலும் நாங்கள் கேக்க போவது இல்லை. வேற வேலை இருந்தால் பாருங்க மக்களே.,Homophobic-derogation
Nishanthini Krishnamoorthy  நன்றி  நன்றி திருநங்கை பிறந்தாலும்  இந்த மாதிரி  ரோட்ல  பிச்சை  எடுக்க  விடமாட்டேன்  🤣🤣🤣🤣🤣😅😅😅😅,None-of-the-above
உங்கள பாராட்ட வார்த்தையே இல்ல சகோ...,None-of-the-above
அருமை  தம்பி  தங்கை .திருநங்கைக்கும்  வாழ்த்துகள் 👌👌,None-of-the-above
நல்லா நடிக்கிற.....கொஞ்சம் கோவம் வருது ...வேற ஏதாவது உருப்படியா யோசிச்சு பண்ணுங்க ...வேற ஒன்னும் சொல்றதுக்கு இல்லை ...உண்மையான திருநங்கை  பார்த்தா எவ்வளவு கோபம் வரும்!,None-of-the-above
இவலுங்கா  தோல்லை  எங்க  பேனலும்  இருக்குது,None-of-the-above
பிச்சை யார் வேணாலும் எடுக்கலாம்,None-of-the-above
அந்த திருநங்கை அம்மாவை வணங்குகிறேன்😢🙏🙏🙏🙏,None-of-the-above
அப்பா அம்மாவோடு கட்டுப்படாமல் வாழ்வது வாழ்க்கை இல்லை அவர்கள் அமைத்து தரும் வாழ்க்கையில் வாழ்வது சிறந்தது ; நாய் கூடதான் கண்ட கண்ட நாயுடன் சேரும் - அதுபோல தான் வாழ்வேன் கண்டவருடன் தான் வெளியே செல்வேன் நாய்க்கு ஒப்பான செயல்; மனிதனுக்கு ஒரு கட்டுப்பாடு உண்டு அதில் வாழ்வது நல்லது,Homophobic-derogation
நீங்க எழுதுங்க...நாங்க படிக்கின்றோம்,None-of-the-above
மிகவும் அழகாக இந்த சமூகத்தின் வலிகளை அழகிய தமிழில் அழகான உச்சரிப்புடன் உனத்திய அழகிய தமிழ்மகளுக்கு வாழ்துக்கள்,None-of-the-above
